日期,收盘,开盘,高,低,涨跌幅
2012年2月,1.7174,1.7497,1.7497,1.6867,-1.71%
2012年1月,1.7472,1.8665,1.8754,1.7321,-6.23%
2011年12月,1.8632,1.8083,1.8884,1.7755,3.04%
2011年11月,1.8083,1.7172,1.914,1.713,5.31%
2011年10月,1.7172,1.8777,1.9175,1.6711,-8.61%
2011年9月,1.879,1.5892,1.9498,1.5886,18.24%
2011年8月,1.5892,1.5501,1.6585,1.545,2.60%
2011年7月,1.549,1.5621,1.5854,1.528,-0.84%
2011年6月,1.5622,1.5788,1.6163,1.5573,-1.13%
2011年5月,1.58,1.577,1.6457,1.5685,0.16%
2011年4月,1.5775,1.6318,1.6318,1.5565,-3.34%
2011年3月,1.632,1.664,1.6932,1.6205,-1.91%
2011年2月,1.6638,1.6672,1.6806,1.6553,-0.22%
2011年1月,1.6675,1.6598,1.6967,1.6433,0.48%
2010年12月,1.6596,1.7138,1.722,1.6592,-3.23%
2010年11月,1.715,1.7012,1.7428,1.6685,0.81%
2010年10月,1.7012,1.6876,1.7252,1.6433,0.81%
2010年9月,1.6876,1.7549,1.7593,1.6855,-3.84%
2010年8月,1.755,1.7541,1.7821,1.7431,0.06%
2010年7月,1.754,1.8052,1.8138,1.7495,-2.77%
2010年6月,1.8039,1.8195,1.8823,1.7488,-0.88%
2010年5月,1.82,1.7372,1.916,1.7252,4.75%
2010年4月,1.7375,1.7832,1.7932,1.7225,-2.58%
2010年3月,1.7836,1.8058,1.8302,1.7563,-1.31%
2010年2月,1.8072,1.8684,1.898,1.7874,-4.13%
2010年1月,1.885,1.7291,1.8971,1.7138,8.15%
